Norte;RR;2020-07-31;23932
Norte;RR;2020-07-31;381
Norte;RR;2020-07-31;725
Norte;RR;2020-07-31;561
Norte;RR;2020-07-31;694
Norte;RR;2020-07-31;188
Norte;RR;2020-07-31;463
Norte;RR;2020-07-31;247
Norte;RR;2020-07-31;1127
Norte;RR;2020-07-31;1198
Norte;RR;2020-07-31;656
Norte;RR;2020-07-31;162
Norte;RR;2020-07-31;496
Norte;PA;2020-07-31;2673
Norte;PA;2020-07-31;148
Norte;PA;2020-07-31;662
Norte;PA;2020-07-31;1419
Norte;PA;2020-07-31;323
Norte;PA;2020-07-31;1002
Norte;PA;2020-07-31;206
Norte;PA;2020-07-31;3158
Norte;PA;2020-07-31;522
Norte;PA;2020-07-31;5784
Norte;PA;2020-07-31;579
Norte;PA;2020-07-31;1038
Norte;PA;2020-07-31;557
Norte;PA;2020-07-31;335
Norte;PA;2020-07-31;262
Norte;PA;2020-07-31;291
Norte;PA;2020-07-31;67
Norte;PA;2020-07-31;3321
Norte;PA;2020-07-31;25203
Norte;PA;2020-07-31;130
Norte;PA;2020-07-31;1315
Norte;PA;2020-07-31;195
Norte;PA;2020-07-31;218
Norte;PA;2020-07-31;2042
Norte;PA;2020-07-31;502
Norte;PA;2020-07-31;88
Norte;PA;2020-07-31;259
Norte;PA;2020-07-31;1602
Norte;PA;2020-07-31;243
Norte;PA;2020-07-31;420
Norte;PA;2020-07-31;247
Norte;PA;2020-07-31;4358
Norte;PA;2020-07-31;2625
Norte;PA;2020-07-31;1043
Norte;PA;2020-07-31;670
Norte;PA;2020-07-31;1787
Norte;PA;2020-07-31;162
Norte;PA;2020-07-31;78
Norte;PA;2020-07-31;541
Norte;PA;2020-07-31;962
Norte;PA;2020-07-31;242
Norte;PA;2020-07-31;973
Norte;PA;2020-07-31;241
Norte;PA;2020-07-31;207
Norte;PA;2020-07-31;1489
Norte;PA;2020-07-31;740
Norte;PA;2020-07-31;211
Norte;PA;2020-07-31;46
Norte;PA;2020-07-31;144
Norte;PA;2020-07-31;569
Norte;PA;2020-07-31;154
Norte;PA;2020-07-31;1138
Norte;PA;2020-07-31;532
Norte;PA;2020-07-31;1103
Norte;PA;2020-07-31;65
Norte;PA;2020-07-31;484
Norte;PA;2020-07-31;527
Norte;PA;2020-07-31;4000
Norte;PA;2020-07-31;324
Norte;PA;2020-07-31;1295
Norte;PA;2020-07-31;685
Norte;PA;2020-07-31;1278
Norte;PA;2020-07-31;773
Norte;PA;2020-07-31;469
Norte;PA;2020-07-31;157
Norte;PA;2020-07-31;5442
Norte;PA;2020-07-31;131
Norte;PA;2020-07-31;513
Norte;PA;2020-07-31;783
Norte;PA;2020-07-31;1171
Norte;PA;2020-07-31;253
Norte;PA;2020-07-31;1099
Norte;PA;2020-07-31;1189
Norte;PA;2020-07-31;364
Norte;PA;2020-07-31;1163
Norte;PA;2020-07-31;293
Norte;PA;2020-07-31;676
Norte;PA;2020-07-31;246
Norte;PA;2020-07-31;263
Norte;PA;2020-07-31;697
Norte;PA;2020-07-31;275
Norte;PA;2020-07-31;671
Norte;PA;2020-07-31;459
Norte;PA;2020-07-31;2529
Norte;PA;2020-07-31;329
Norte;PA;2020-07-31;2111
Norte;PA;2020-07-31;617
Norte;PA;2020-07-31;90
Norte;PA;2020-07-31;2438
Norte;PA;2020-07-31;14756
Norte;PA;2020-07-31;115
Norte;PA;2020-07-31;107
Norte;PA;2020-07-31;148
Norte;PA;2020-07-31;277
Norte;PA;2020-07-31;584
Norte;PA;2020-07-31;1177
Norte;PA;2020-07-31;746
Norte;PA;2020-07-31;323
Norte;PA;2020-07-31;264
Norte;PA;2020-07-31;297
Norte;PA;2020-07-31;2212
Norte;PA;2020-07-31;669
Norte;PA;2020-07-31;312
Norte;PA;2020-07-31;677
Norte;PA;2020-07-31;495
Norte;PA;2020-07-31;441
Norte;PA;2020-07-31;273
Norte;PA;2020-07-31;93
Norte;PA;2020-07-31;507
Norte;PA;2020-07-31;150
Norte;PA;2020-07-31;148
Norte;PA;2020-07-31;207
Norte;PA;2020-07-31;350
Norte;PA;2020-07-31;3932
Norte;PA;2020-07-31;213
Norte;PA;2020-07-31;351
Norte;PA;2020-07-31;395
Norte;PA;2020-07-31;498
Norte;PA;2020-07-31;95
Norte;PA;2020-07-31;1220
Norte;PA;2020-07-31;98
Norte;PA;2020-07-31;383
Norte;PA;2020-07-31;45
Norte;PA;2020-07-31;199
Norte;PA;2020-07-31;21
Norte;PA;2020-07-31;1118
Norte;PA;2020-07-31;358
Norte;PA;2020-07-31;114
Norte;PA;2020-07-31;494
Norte;PA;2020-07-31;385
Norte;PA;2020-07-31;1411
Norte;PA;2020-07-31;254
Norte;PA;2020-07-31;243
Norte;PA;2020-07-31;834
Norte;PA;2020-07-31;501
Norte;PA;2020-07-31;247
Norte;PA;2020-07-31;1078
Norte;PA;2020-07-31;1494
Norte;PA;2020-07-31;726
Norte;PA;2020-07-31;887
Norte;PA;2020-07-31;340
Norte;PA;2020-07-31;936
Norte;PA;2020-07-31;716
Norte;PA;2020-07-31;1086
Norte;AP;2020-07-31;552
Norte;AP;2020-07-31;400
Norte;AP;2020-07-31;2333
Norte;AP;2020-07-31;1025
Norte;AP;2020-07-31;513
Norte;AP;2020-07-31;509
Norte;AP;2020-07-31;236
Norte;AP;2020-07-31;3700
Norte;AP;2020-07-31;15496
Norte;AP;2020-07-31;1026
Norte;AP;2020-07-31;2072
Norte;AP;2020-07-31;957
Norte;AP;2020-07-31;297
Norte;AP;2020-07-31;5239
Norte;AP;2020-07-31;651
Norte;AP;2020-07-31;1462
