RR;64032
RS;133384
DF;212584
PR;152224
SC;168146
SE;117426
MA;241322
MG;254212
SP;1084608
AC;39250
CE;347764
MS;49872
MT;103730
GO;135882
AL;119450
AM;201880
ES;166584
AP;72936
PA;309370
PB;165588
PE;190010
RJ;330990
PI;102954
TO;49648
RN;100832
RO;77984
BA;332308
